Average,BYTE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;DAY_TIME:DECIMAL:DOUBLE:YEAR_MONTH
Greatest,BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH
Not,BOOLEAN;BOOLEAN
InSet,BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BOOLEAN
And,BOOLEAN;BOOLEAN;BOOLEAN
Or,BOOLEAN;BOOLEAN;BOOLEAN
EqualTo,ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
EqualNullSafe,ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
LessThan,ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
LessThanOrEqual,ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
GreaterThan,ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
GreaterThanOrEqual,ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
In,BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BOOLEAN
Like,STRING;STRING;BOOLEAN
Reverse,STRING;STRING
Concat,BINARY:STRING;BINARY:STRING
ConcatWs,STRING;STRING;STRING
Elt,INTEGER;BINARY:STRING;BINARY:STRING
Upper,STRING;STRING
Lower,STRING;STRING
Contains,BINARY:STRING;BINARY:STRING;BOOLEAN
StartsWith,BINARY:STRING;BINARY:STRING;BOOLEAN
EndsWith,BINARY:STRING;BINARY:STRING;BOOLEAN
StringReplace,STRING;STRING;STRING;STRING
Overlay,BINARY:STRING;BINARY:STRING;INTEGER;INTEGER;BINARY:STRING
StringTranslate,STRING;STRING;STRING;STRING
FindInSet,STRING;STRING;INTEGER
StringTrim,STRING;STRING;STRING
